Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
11690,0.0,0,413561.9047619048,23,23,1,9082,2537,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
11691,416.0,1,94848.0,19,19,1,15596,5185,Long-term,English,NOTICE,MAIL,1-5,Premier,False,False,False,False,False,False,False,False,False,False,True
11692,219.2952380952381,1,233330.13333333333,14,14,2,10587,2498,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,True,True,False,False,False,False,False,False,False,True
11693,0.0,0,7102200.456000001,19,19,2,3460,6566,Short-term,English,AUTO RENEW,AUTO RENEW,101-500,Premier,False,True,False,True,False,False,False,False,False,False,True
11694,0.0,0,232172.85,3,3,0,9339,4266,Mid-term,Unknown,AUTO RENEW,PHONE,11-50,Premier,False,False,False,False,False,False,False,False,False,False,False
11695,0.0,0,775606.8571428572,24,24,1,10817,3558,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
11696,268.8533333333333,1,846888.0,21,21,1,12459,3679,Mid-term,English,NOTICE,WEB,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
11697,0.0,0,498035.6266666667,17,17,1,12065,3604,Mid-term,English,NOTICE,MAIL,11-50,Standard,False,True,False,False,False,False,False,False,False,False,True
11698,0.0,0,967776.0,17,17,1,9004,2869,Mid-term,English,NOTICE,MAIL,51-100,Standard,False,True,False,False,False,False,False,False,False,False,True
11699,0.0,0,119041.33333333334,19,19,1,13555,2209,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11700,651.6,1,1528653.6,17,17,1,3784,2261,Short-term,English,NOTICE,MAIL,101-500,Standard,False,True,False,False,False,False,False,False,False,False,True
11701,783.5333333333333,1,640146.7333333333,19,19,2,14500,2531,Long-term,English,NOTICE,MAIL,101-500,Premier,False,True,True,False,False,False,False,False,False,False,True
11702,0.0,0,1004952.416,26,26,2,9051,3911,Mid-term,English,AUTO RENEW,WEB,11-50,Standard,False,True,True,False,False,False,False,False,False,False,True
11703,0.0,0,201579.84,14,14,1,11547,2415,Mid-term,English,NOTICE,BRANCH (POS),6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11704,401.0666666666667,1,456814.9333333334,17,17,1,15961,3801,Long-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
11705,0.0,0,1915526.8000000005,22,22,1,10786,4054,Mid-term,English,NOTICE,MAIL,51-100,Premier,False,False,False,False,False,False,False,False,False,False,True
11706,0.0,0,245438.87619047612,17,17,1,8792,2680,Mid-term,English,NOTICE,WEB,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
